Index, PS Output(MW)
1691, 341.8
1692, 334.22
1693, 340.02
1694, 337.67
1695, 340.65
1696, 341.09
1697, 339.15
1698, 341.06
1699, 343.82
1700, 341.82
1701, 346.67
1702, 345.87
1703, 343.28
1704, 343.89
1705, 347.22
1706, 346.94
1707, 349.86
1708, 353.52
1709, 361.72
1710, 363.41
1711, 364.17
1712, 369.54
1713, 369.73
1714, 371.53
1715, 373.62
1716, 377.11
1717, 381.22
1718, 389.11
1719, 397.75
1720, 399.76
1721, 401.54
1722, 401.83
1723, 405.1
1724, 405.55
1725, 408.64
1726, 407.92
1727, 409.41
1728, 408.49
1729, 410.04
1730, 410.52
1731, 410.66
1732, 409.69
1733, 410.01
1734, 410.18
1735, 412.03
1736, 410.79
1737, 410.4
1738, 408.39
1739, 410.03
1740, 409.4
1741, 409.13
1742, 408.0
1743, 407.61
1744, 407.22
1745, 406.19
1746, 409.2
1747, 409.3
1748, 409.58
1749, 416.22
1750, 430.42
1751, 447.93
1752, 466.67
1753, 470.45
1754, 476.54
1755, 491.59
1756, 502.62
1757, 505.03
1758, 504.17
1759, 505.73
1760, 506.81
1761, 506.44
1762, 509.18
1763, 508.73
1764, 509.44
1765, 510.85
1766, 510.99
1767, 511.4
1768, 512.33
1769, 514.92
1770, 517.5
1771, 517.71
1772, 517.54
1773, 518.08
1774, 519.58
1775, 516.98
1776, 518.36
1777, 518.71
1778, 517.5
1779, 519.45
1780, 517.78
1781, 520.66
1782, 519.49
1783, 519.95
1784, 522.05
1785, 522.93
1786, 523.94
1787, 522.84
1788, 523.66
1789, 521.54
1790, 522.85
1791, 522.14
1792, 522.06
1793, 523.25
1794, 522.75
1795, 523.4
1796, 523.2
1797, 522.45
1798, 522.58
1799, 522.13
1800, 521.44
1801, 520.83
1802, 520.82
1803, 518.66
1804, 516.5
1805, 515.01
1806, 517.41
1807, 516.2
1808, 515.79
1809, 514.49
1810, 515.51
1811, 516.51
1812, 515.21
1813, 515.1
1814, 515.36
1815, 517.25
1816, 517.08
1817, 516.82
1818, 517.96
1819, 519.39
1820, 518.99
1821, 519.38
1822, 518.7
1823, 518.47
1824, 520.29
1825, 521.82
1826, 521.38
1827, 520.9
1828, 521.21
1829, 518.6
1830, 520.89
1831, 519.61
1832, 518.55
1833, 519.44
1834, 516.96
1835, 516.61
1836, 517.21
1837, 518.91
1838, 519.01
1839, 520.09
1840, 519.83
1841, 519.29
1842, 518.24
1843, 516.71
1844, 515.91
1845, 514.62
1846, 516.56
1847, 517.44
1848, 516.85
1849, 518.91
1850, 517.82
1851, 518.6
1852, 519.23
1853, 521.43
1854, 524.54
1855, 523.66
1856, 527.32
1857, 527.98
1858, 531.59
1859, 534.25
1860, 536.37
1861, 535.22
1862, 530.32
1863, 531.88
1864, 529.48
1865, 529.74
1866, 530.03
1867, 529.77
1868, 529.78
